Name,Chembl Id,Smiles,Nps,Antioxidant,Anti Inflammatory,Mitochondrial,Aggregation,Cognitive,Neurogenesis,Synaptic,Bbb,Source,Compound Type,Alzheimers,Parkinsons,Als,Huntingtons
Sesamin,CHEMBL252915,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,64.3,14.86,80.0,60.0,60.0,60.0,50.0,60.0,Medium,Literature-Curated,Lignan / Sesame Seed,1,1,0,0
Oleic Acid,CHEMBL8659,CCCCCCCC/C=C\CCCCCCCC(=O)O,58.6,22.39,70.0,60.0,50.0,60.0,50.0,60.0,High,Literature-Curated,Monounsaturated Fatty Acid (Omega-9),1,0,0,0
Donepezil,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,67.1,26.13,70.0,50.0,80.0,90.0,50.0,80.0,High,Literature-Curated,AChE Inhibitor Drug — FDA-approved Alzheimer's (DrugBank DB00843),1,1,0,0
Rivastigmine,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,58.6,38.52,60.0,50.0,70.0,80.0,40.0,70.0,High,Literature-Curated,AChE/BuChE Inhibitor Drug — FDA-approved AD/PD Dementia (DrugBank DB00989),1,1,0,0
Rasagiline,CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,65.7,42.79,60.0,70.0,80.0,70.0,60.0,60.0,High,Literature-Curated,MAO-B Inhibitor Drug — FDA-approved Parkinson's (ChEMBL CHEMBL1016),0,1,0,0
Selegiline,CHEMBL1200904,C#CCN(C)[C@H](C)Cc1ccccc1.Cl,62.9,34.36,60.0,70.0,70.0,70.0,50.0,60.0,High,Literature-Curated,MAO-B Inhibitor Drug — FDA-approved Parkinson's (DrugBank DB01037 / ChEMBL897),1,1,0,0
Icariin,CHEMBL553204,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,72.9,23.35,70.0,60.0,70.0,80.0,80.0,70.0,Medium,Literature-Curated,Prenylated Flavonol Glycoside / Epimedium (ChEMBL),1,1,0,0
Ferulic Acid,CHEMBL32749,COc1cc(/C=C/C(=O)O)ccc1O,68.6,22.27,80.0,60.0,80.0,60.0,60.0,60.0,Medium,Literature-Curated,Hydroxycinnamic Acid Phenolic / Plant Cell Walls (ChEMBL),1,1,0,0
Rosmarinic Acid,CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,67.1,34.2,80.0,60.0,70.0,60.0,50.0,60.0,Medium,Literature-Curated,Polyphenol Ester / Rosemary & Herbs (ChEMBL),1,1,0,0
Ellagic Acid,CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,67.1,53.0,80.0,70.0,70.0,60.0,50.0,50.0,Low,Literature-Curated,"Polyphenol / Pomegranate, Berries (ChEMBL)",1,1,0,0
Thymoquinone,CHEMBL1672002,CC1=CC(=O)C(C(C)C)=CC1=O,71.4,34.77,80.0,70.0,70.0,70.0,60.0,60.0,High,Literature-Curated,Monoterpene Ketone / Nigella sativa (ChEMBL),1,1,0,0
Caffeic Acid,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,62.9,26.95,70.0,60.0,60.0,60.0,50.0,60.0,Medium,Literature-Curated,"Hydroxycinnamic Acid / Coffee, Fruits (ChEMBL)",1,0,0,0
Proanthocyanidin (OPC),CHEMBL4742102,CCC(=O)Nc1c(C)cc(C(=O)N2CCC(N(C)CCc3ccccc3)CC2)cc1C,68.6,32.04,80.0,70.0,70.0,60.0,50.0,60.0,Low,Literature-Curated,"Oligomeric Flavan-3-ol / Grape Seed, Pine Bark (ChEMBL)",1,1,0,0
Mangiferin,CHEMBL464825,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,70.0,20.86,80.0,70.0,70.0,70.0,60.0,60.0,Low,Literature-Curated,C-glucosyl Xanthone / Mango (ChEMBL),1,1,0,0
Baicalin,CHEMBL485818,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,71.4,22.71,80.0,60.0,70.0,70.0,70.0,70.0,Medium,Literature-Curated,Flavone Glucuronide / Scutellaria baicalensis (ChEMBL),1,1,1,1
Carnosic Acid,CHEMBL484853,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,72.9,28.76,80.0,70.0,70.0,70.0,70.0,60.0,High,Literature-Curated,Diterpene Phenol / Rosemary (ChEMBL),1,1,0,0
Valproic Acid,CHEMBL109,CCCC(CCC)C(=O)O,61.4,27.43,70.0,50.0,70.0,60.0,70.0,60.0,High,Literature-Curated,HDAC Inhibitor Drug — FDA-approved Epilepsy/Bipolar (DrugBank DB00313),1,0,1,1
Nicotinamide,CHEMBL1140,NC(=O)c1cccnc1,60.0,34.98,60.0,80.0,60.0,60.0,50.0,50.0,High,Literature-Curated,Vitamin B3 Amide / NAD+ Precursor (DrugBank DB00627),1,0,0,1
Ergothioneine,CHEMBL4303270,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)O,65.7,29.49,70.0,70.0,70.0,60.0,50.0,50.0,High,Literature-Curated,Thiol Amino Acid Antioxidant / Mushrooms (ChEMBL),1,1,1,0
Naringin,CHEMBL4303320,C[C@@H]1O[C@@H](O[C@@H]2[C@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,62.9,24.69,70.0,60.0,60.0,60.0,60.0,60.0,Low,Literature-Curated,Flavanone Glycoside / Citrus peel (ChEMBL),1,1,0,0
Hesperidin,CHEMBL449317,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,62.9,30.36,70.0,60.0,60.0,70.0,50.0,60.0,Low,Literature-Curated,Flavanone Glycoside / Citrus peel (DrugBank DB13745),1,0,0,0
Chrysin,CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,62.9,33.47,70.0,60.0,60.0,60.0,60.0,60.0,Medium,Literature-Curated,"Flavone / Honey, Propolis (ChEMBL)",1,1,0,0
Aspirin,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,27.1,27.3,50.0,20.0,30.0,30.0,20.0,20.0,Medium,Literature-Curated,NSAID / Salicylate,0,0,0,0
Levodopa,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,48.6,34.55,40.0,50.0,40.0,60.0,40.0,60.0,High,Literature-Curated,FDA-Approved Drug,0,1,0,0
Riluzole,CHEMBL744,Nc1nc2ccc(OC(F)(F)F)cc2s1,54.3,35.19,70.0,60.0,50.0,50.0,40.0,50.0,High,Literature-Curated,FDA-Approved Drug,0,0,1,0
Edaravone,CHEMBL290916,CC1=NN(c2ccccc2)C(=O)C1,58.6,25.79,70.0,70.0,50.0,50.0,40.0,40.0,Medium,Literature-Curated,FDA-Approved Drug,0,0,1,0
Tetrabenazine,CHEMBL117785,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,40.0,31.36,40.0,40.0,50.0,50.0,30.0,40.0,High,Literature-Curated,FDA-Approved Drug,0,0,0,1
Deutetrabenazine,CHEMBL3137326,[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])C1CC(=O)C(CC(C)C)CN1CC2,40.0,29.4,40.0,40.0,50.0,50.0,30.0,40.0,High,Literature-Curated,FDA-Approved Drug,0,0,0,1
HALOPERIDOL,CHEMBL1200986,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,49.3,49.33,60.0,48.0,48.0,52.0,36.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
ROLIPRAM,CHEMBL325795,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,53.9,88.29,58.0,57.0,57.0,54.0,45.0,48.0,High,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
RISPERIDONE,CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,54.6,79.29,60.0,57.0,56.0,55.0,43.0,48.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
FENOFIBRATE,CHEMBL1201745,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-].C[N+](C)(C)CCO,48.0,47.35,60.0,46.0,47.0,50.0,35.0,42.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
OLANZAPINE,CHEMBL3989694,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,54.6,48.22,62.0,59.0,53.0,51.0,46.0,51.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
BIOTIN,CHEMBL857,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,50.4,47.88,61.0,51.0,58.0,52.0,35.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
EPIGALOCATECHIN GALLATE,,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,50.3,32.32,59.0,51.0,53.0,52.0,36.0,42.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
BUPROPION,CHEMBL1201735,Br.CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,48.9,43.09,61.0,46.0,52.0,48.0,37.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
LAQUINIMOD,CHEMBL66092,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,48.9,41.79,59.0,48.0,51.0,49.0,37.0,41.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
CANNABINOL,CHEMBL74415,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,47.9,53.33,56.0,48.0,51.0,49.0,34.0,41.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
NEFLAMAPIMOD,CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,54.9,38.8,61.0,56.0,52.0,56.0,45.0,51.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
CANNABIDIOL,CHEMBL190461,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,54.6,37.04,59.0,58.0,55.0,54.0,45.0,47.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
MINOCYCLINE,CHEMBL1200881,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,49.3,74.0,57.0,50.0,52.0,50.0,36.0,40.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
SRX246,,C[C@@H](NC(=O)[C@@H](CC(=O)N1CCC(N2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1)c1cccc(C(F)(F)F)c1,49.1,42.29,56.0,47.0,57.0,51.0,35.0,41.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
NILOTINIB,CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,49.4,48.84,58.0,47.0,53.0,53.0,36.0,43.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
URSODIOL,CHEMBL1551,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,49.4,46.71,60.0,48.0,55.0,51.0,36.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
UBIDECARENONE,CHEMBL454801,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,55.0,50.58,60.0,56.0,59.0,54.0,44.0,49.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
SERTRALINE HYDROCHLORIDE,CHEMBL1709,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,55.3,22.0,60.0,58.0,55.0,56.0,45.0,49.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
MARDEPODECT,CHEMBL5306001,Cl.Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,54.0,38.91,57.0,56.0,56.0,52.0,46.0,50.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
SODIUM PHENYLBUTYRATE,CHEMBL1746,O=C([O-])CCCc1ccccc1.[Na+],48.3,28.93,56.0,49.0,51.0,53.0,37.0,43.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
LATREPIRDINE,CHEMBL2105703,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1.Cl.Cl,55.9,44.26,60.0,58.0,57.0,54.0,48.0,49.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
PRIDOPIDINE,CHEMBL596802,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,52.7,40.21,55.0,57.0,53.0,55.0,43.0,49.0,High,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
TIAPRIDE HYDROCHLORIDE,CHEMBL1256772,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,48.7,35.88,57.0,48.0,53.0,50.0,34.0,40.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
DIVALPROEX SODIUM,CHEMBL2105613,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],47.7,42.68,56.0,48.0,52.0,53.0,36.0,43.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
BEVANTOLOL HYDROCHLORIDE,CHEMBL2106060,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC.Cl,55.4,49.4,63.0,58.0,57.0,52.0,45.0,49.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
VALBENAZINE,CHEMBL2364639,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,49.7,26.57,60.0,48.0,57.0,50.0,36.0,40.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
MAVOGLURANT,CHEMBL3087515,COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1,49.1,71.43,59.0,48.0,55.0,51.0,35.0,40.0,High,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
PBF-999,CHEMBL3942498,C#CCNc1nc(-n2cncn2)nc(N)c1Br,54.1,74.86,58.0,56.0,52.0,54.0,47.0,49.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
BRANAPLAM,CHEMBL4290141,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,54.1,48.6,60.0,58.0,54.0,50.0,42.0,49.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
GSK-356278,CHEMBL4303308,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1,51.1,41.21,60.0,51.0,58.0,51.0,37.0,41.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
TRIHEPTANOIN,CHEMBL4297585,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,50.1,44.61,62.0,48.0,55.0,51.0,36.0,42.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
CIMETIDINE,CHEMBL1201051,CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl,57.4,47.42,59.0,71.0,50.0,57.0,48.0,51.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
MOXIFLOXACIN,CHEMBL1200735,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,54.3,47.13,61.0,74.0,57.0,51.0,37.0,41.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
PYRIMETHAMINE,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,53.9,47.13,63.0,76.0,47.0,50.0,38.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DRONABINOL,CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,55.9,49.5,65.0,76.0,55.0,51.0,38.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
COLCHICINE,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,53.7,45.2,61.0,71.0,50.0,54.0,38.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
CELECOXIB,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,60.3,45.34,64.0,78.0,55.0,55.0,46.0,50.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
ACETYLCYSTEINE,CHEMBL5315034,,49.4,37.38,61.0,48.0,52.0,51.0,35.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,0,1
IBUDILAST,CHEMBL19449,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,54.4,36.27,63.0,74.0,52.0,50.0,38.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
EZOGABINE,CHEMBL41355,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,53.6,33.0,59.0,73.0,52.0,52.0,37.0,43.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DEXTROMETHORPHAN,CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,58.3,55.57,62.0,74.0,54.0,55.0,45.0,51.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
RITONAVIR,CHEMBL3182552,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,54.9,51.1,60.0,74.0,54.0,54.0,37.0,43.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
CAPSAICIN,CHEMBL294199,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,54.1,26.0,64.0,74.0,55.0,49.0,37.0,40.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
CREATININE,CHEMBL65567,CN1CC(=O)NC1=N,59.9,36.75,67.0,74.0,56.0,54.0,47.0,48.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
DEFERIPRONE,CHEMBL70927,Cc1c(O)c(=O)ccn1C,57.9,29.0,66.0,72.0,49.0,53.0,46.0,52.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
ISTRADEFYLLINE,CHEMBL3736368,CCn1c(=O)c2[nH]c(/C=C/c3ccc(OC)c(OC)c3)nc2n(CC)c1=O,58.6,40.06,64.0,71.0,57.0,52.0,49.0,48.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
INOSINE,CHEMBL3833327,CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(=O)Nc1ccc(C(=O)O)cc1.CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,57.3,44.47,60.0,76.0,51.0,53.0,43.0,48.0,Low,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
ATROPINE,CHEMBL4557433,CN1C2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,54.4,43.32,59.0,73.0,57.0,51.0,39.0,41.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DUTASTERIDE,CHEMBL1200969,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,55.4,40.68,64.0,76.0,53.0,53.0,37.0,42.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DEXTROSE,CHEMBL448805,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,58.7,33.22,65.0,75.0,52.0,54.0,45.0,48.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DOLUTEGRAVIR,CHEMBL4303416,C[C@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,54.4,34.44,62.0,75.0,55.0,50.0,37.0,40.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
LEVOSIMENDAN,CHEMBL2051955,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,58.0,44.54,59.0,77.0,52.0,54.0,46.0,49.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
TRAMETINIB,CHEMBL2103875,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,53.7,51.7,61.0,69.0,56.0,53.0,37.0,41.0,Low,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DEXPRAMIPEXOLE DIHYDROCHLORIDE,CHEMBL2105687,CCCN[C@@H]1CCc2nc(N)sc2C1.Cl.Cl.O,58.6,39.96,65.0,74.0,52.0,54.0,44.0,48.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
QUINIDINE SULFATE,CHEMBL3707183,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,58.1,47.57,58.0,75.0,56.0,54.0,46.0,53.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
VOTOPLAM,CHEMBL4850295,CC1(C)CC(n2nnc3cc(-c4ccc(-n5nccn5)cc4O)nnc32)CC(C)(C)N1,55.9,44.38,63.0,57.0,57.0,53.0,47.0,53.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
DALZANEMDOR,CHEMBL5095095,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,56.1,49.84,62.0,60.0,56.0,56.0,44.0,49.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
BRANAPLAM HYDROCHLORIDE,,,54.1,39.6,60.0,58.0,54.0,50.0,42.0,49.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,0,1
CIPROFLOXACIN,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,55.9,41.0,63.0,77.0,56.0,53.0,38.0,41.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
VALPROATE SODIUM,CHEMBL433,CCCC(CCC)C(=O)[O-].[Na+],53.4,36.04,60.0,74.0,52.0,52.0,37.0,42.0,High,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
TRETINOIN,CHEMBL2218871,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O3)C(C)(C)CCC1,55.6,47.31,61.0,77.0,59.0,51.0,37.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
THALIDOMIDE,CHEMBL426123,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,58.9,25.71,67.0,74.0,52.0,54.0,45.0,48.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
SERINE,CHEMBL11298,N[C@@H](CO)C(=O)O,54.4,30.13,64.0,73.0,51.0,51.0,38.0,41.0,Low-Med,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
PREDNISONE,CHEMBL15720,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CC[C@]2(O)C(=O)CO,54.9,38.22,63.0,76.0,56.0,50.0,37.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
METHYLPREDNISOLONE,CHEMBL1697782,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,54.1,30.75,62.0,77.0,50.0,49.0,37.0,41.0,Low-Med,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
DEXMEDETOMIDINE,CHEMBL2106195,Cc1cccc([C@H](C)c2c[nH]cn2)c1C.Cl,58.9,43.13,61.0,73.0,55.0,56.0,47.0,50.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
FASUDIL,,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,54.7,43.63,64.0,72.0,51.0,52.0,36.0,43.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
ENOXACIN,CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,56.0,21.71,64.0,78.0,54.0,53.0,37.0,40.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
CLENBUTEROL,CHEMBL1330729,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl,59.0,40.57,64.0,71.0,52.0,56.0,46.0,52.0,Medium,ML-Predicted (ChEMBL),Clinical Candidate,0,0,1,0
LACOSAMIDE,CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,56.1,28.03,65.0,73.0,58.0,54.0,37.0,42.0,Medium,ML-Predicted (ChEMBL),FDA-Approved Drug,0,0,1,0
