name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps
Proanthocyanidin (OPC),OC1Cc2c(O)cc(O)cc2OC1c1cc(C2Cc3c(O)cc(O)cc3OC2O)ccc1O,Low,"Oligomeric Flavan-3-ol / Grape Seed, Pine Bark (ChEMBL)",curated,1,1,0,0,90.0,80.0,70.0,70.0,60.0,50.0,60.0,gold_literature,1.0,72.9
Mangiferin,OCC1OC(Oc2c(O)cc3oc4cc(O)cc(O)c4c(=O)c3c2O)C(O)C(O)C1O,Low,C-glucosyl Xanthone / Mango (ChEMBL),curated,1,1,0,0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,gold_literature,1.0,72.9
Baicalin,O=c1cc(-c2ccccc2)oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)c(O)c(O)c12,Medium,Flavone Glucuronide / Scutellaria baicalensis (ChEMBL),curated,2,1,1,1,80.0,80.0,60.0,70.0,70.0,70.0,70.0,gold_literature,1.0,72.9
Carnosic Acid,CC(C)c1cc2cc(O)c(O)cc2c(C(=O)O)c1,High,Diterpene Phenol / Rosemary (ChEMBL),curated,1,2,0,0,90.0,80.0,70.0,70.0,70.0,70.0,60.0,gold_literature,1.0,75.7
Valproic Acid,CCCC(CCC)C(=O)O,High,HDAC Inhibitor Drug — FDA-approved Epilepsy/Bipolar (DrugBank DB00313),curated,1,0,1,1,50.0,70.0,50.0,70.0,60.0,70.0,60.0,gold_literature,1.0,60.7
Nicotinamide,NC(=O)c1cccnc1,High,Vitamin B3 Amide / NAD+ Precursor (DrugBank DB00627),curated,1,0,0,1,60.0,60.0,80.0,60.0,60.0,50.0,50.0,gold_literature,1.0,61.4
Ergothioneine,,High,Thiol Amino Acid Antioxidant / Mushrooms (ChEMBL),curated,1,1,1,0,90.0,70.0,70.0,70.0,60.0,50.0,50.0,gold_literature,1.0,70.0
Naringin,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2)Oc2cc(O)cc(O)c21,Low,Flavanone Glycoside / Citrus peel (ChEMBL),curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0,64.3
Hesperidin,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O,Low,Flavanone Glycoside / Citrus peel (DrugBank DB13745),curated,1,0,0,0,70.0,70.0,60.0,60.0,70.0,50.0,60.0,gold_literature,1.0,65.0
Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Medium,"Flavone / Honey, Propolis (ChEMBL)",curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0,64.3
Aspirin,CC(=O)Oc1ccccc1C(=O)O,Moderate,NSAID / Salicylate,curated,0,0,0,0,20.0,50.0,20.0,30.0,30.0,20.0,20.0,gold_literature,1.0,29.3
Levodopa,NC(Cc1ccc(O)c(O)c1)C(=O)O,High,FDA-Approved Drug,curated,0,2,0,0,50.0,40.0,50.0,40.0,60.0,40.0,60.0,gold_literature,1.0,47.9
Riluzole,Nc1nc2cc(OC(F)(F)F)ccc2s1,High,FDA-Approved Drug,curated,0,0,2,0,60.0,70.0,60.0,50.0,50.0,40.0,50.0,gold_literature,1.0,57.1
Edaravone,Cc1cc(=O)[nH]n1-c1ccccc1,Medium,FDA-Approved Drug,curated,0,0,2,0,90.0,70.0,70.0,50.0,50.0,40.0,40.0,gold_literature,1.0,64.3
Tetrabenazine,COc1ccc2c(c1OC)CC(=O)CC2C1CCN(C)CC1,High,FDA-Approved Drug,curated,0,0,0,2,30.0,40.0,40.0,50.0,50.0,30.0,40.0,gold_literature,1.0,40.0
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,gold_ml_predicted,0.9,10.0
ROLIPRAM,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,58.0,58.0,57.0,57.0,54.0,45.0,48.0,gold_ml_predicted,0.9,55.5
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,gold_ml_predicted,0.9,10.0
FENOFIBRATE,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,60.0,46.0,47.0,50.0,35.0,42.0,gold_ml_predicted,0.9,50.8
OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,62.0,59.0,53.0,51.0,46.0,51.0,gold_ml_predicted,0.9,56.4
BIOTIN,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,54.0,61.0,51.0,58.0,52.0,35.0,42.0,gold_ml_predicted,0.9,53.1
EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,59.0,51.0,53.0,52.0,36.0,42.0,gold_ml_predicted,0.9,53.1
BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,61.0,46.0,52.0,48.0,37.0,42.0,gold_ml_predicted,0.9,51.6
LAQUINIMOD,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,59.0,48.0,51.0,49.0,37.0,41.0,gold_ml_predicted,0.9,51.6
CANNABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,56.0,48.0,51.0,49.0,34.0,41.0,gold_ml_predicted,0.9,50.5
NEFLAMAPIMOD,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,61.0,56.0,52.0,56.0,45.0,51.0,gold_ml_predicted,0.9,56.9
CANNABIDIOL,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,59.0,58.0,55.0,54.0,45.0,47.0,gold_ml_predicted,0.9,56.8
MINOCYCLINE,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,57.0,50.0,52.0,50.0,36.0,40.0,gold_ml_predicted,0.9,52.2
SRX246,C[C@@H](NC(=O)[C@@H](CC(=O)N1CCC(N2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1)c1cccc(C(F)(F)F)c1,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,56.0,47.0,57.0,51.0,35.0,41.0,gold_ml_predicted,0.9,51.8
NILOTINIB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,58.0,47.0,53.0,53.0,36.0,43.0,gold_ml_predicted,0.9,51.9
URSODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,55.0,60.0,48.0,55.0,51.0,36.0,41.0,gold_ml_predicted,0.9,52.1
UBIDECARENONE,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,60.0,56.0,59.0,54.0,44.0,49.0,gold_ml_predicted,0.9,57.1
SERTRALINE HYDROCHLORIDE,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,60.0,58.0,55.0,56.0,45.0,49.0,gold_ml_predicted,0.9,57.4
MARDEPODECT,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,57.0,56.0,56.0,52.0,46.0,50.0,gold_ml_predicted,0.9,55.6
SODIUM PHENYLBUTYRATE,O=C([O-])CCCc1ccccc1.[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,49.0,56.0,49.0,51.0,53.0,37.0,43.0,gold_ml_predicted,0.9,50.1
LATREPIRDINE,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,65.0,60.0,58.0,57.0,54.0,48.0,49.0,gold_ml_predicted,0.9,57.9
PRIDOPIDINE,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,55.0,57.0,53.0,55.0,43.0,49.0,gold_ml_predicted,0.9,54.1
TIAPRIDE HYDROCHLORIDE,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,57.0,48.0,53.0,50.0,34.0,40.0,gold_ml_predicted,0.9,51.7
DIVALPROEX SODIUM,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,46.0,56.0,48.0,52.0,53.0,36.0,43.0,gold_ml_predicted,0.9,49.4
BEVANTOLOL HYDROCHLORIDE,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC.Cl,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,64.0,63.0,58.0,57.0,52.0,45.0,49.0,gold_ml_predicted,0.9,57.8
VALBENAZINE,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,60.0,48.0,57.0,50.0,36.0,40.0,gold_ml_predicted,0.9,52.6
MAVOGLURANT,COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,59.0,48.0,55.0,51.0,35.0,40.0,gold_ml_predicted,0.9,52.0
PBF-999,C#CCNc1nc(-n2cncn2)nc(N)c1Br,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,58.0,56.0,52.0,54.0,47.0,49.0,gold_ml_predicted,0.9,55.9
BRANAPLAM,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9,56.6
GSK-356278,CCn1ncc2c(NC3CCOCC3)c(-c3nnc(Cc4sc(C)nc4C)o3)cnc21,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,60.0,60.0,51.0,58.0,51.0,37.0,41.0,gold_ml_predicted,0.9,54.1
TRIHEPTANOIN,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,62.0,48.0,55.0,51.0,36.0,42.0,gold_ml_predicted,0.9,53.1
CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,71.0,50.0,57.0,48.0,51.0,gold_ml_predicted,0.9,59.3
MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,74.0,57.0,51.0,37.0,41.0,gold_ml_predicted,0.9,57.3
PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,47.0,50.0,38.0,42.0,gold_ml_predicted,0.9,57.0
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,65.0,76.0,55.0,51.0,38.0,41.0,gold_ml_predicted,0.9,59.5
COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,61.0,71.0,50.0,54.0,38.0,42.0,gold_ml_predicted,0.9,56.6
CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,74.0,64.0,78.0,55.0,55.0,46.0,50.0,gold_ml_predicted,0.9,63.3
ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,58.0,61.0,48.0,52.0,51.0,35.0,41.0,gold_ml_predicted,0.9,52.5
IBUDILAST,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,63.0,74.0,52.0,50.0,38.0,42.0,gold_ml_predicted,0.9,57.6
EZOGABINE,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,59.0,73.0,52.0,52.0,37.0,43.0,gold_ml_predicted,0.9,56.3
DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,gold_ml_predicted,0.9,60.6
RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,60.0,74.0,54.0,54.0,37.0,43.0,gold_ml_predicted,0.9,57.9
CAPSAICIN,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,64.0,74.0,55.0,49.0,37.0,40.0,gold_ml_predicted,0.9,57.5
CREATININE,CN1CC(=O)NC1=N,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,67.0,74.0,56.0,54.0,47.0,48.0,gold_ml_predicted,0.9,63.1
DEFERIPRONE,Cc1c(O)c(=O)ccn1C,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,66.0,72.0,49.0,53.0,46.0,52.0,gold_ml_predicted,0.9,60.4
ISTRADEFYLLINE,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,64.0,71.0,57.0,52.0,49.0,48.0,gold_ml_predicted,0.9,61.1
INOSINE,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Low,Clinical Candidate,chembl_ml_predicted,0,0,2,0,70.0,60.0,76.0,51.0,53.0,43.0,48.0,gold_ml_predicted,0.9,60.1
ATROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,59.0,73.0,57.0,51.0,39.0,41.0,gold_ml_predicted,0.9,57.3
DUTASTERIDE,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,64.0,76.0,53.0,53.0,37.0,42.0,gold_ml_predicted,0.9,58.9
DEXTROSE,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,65.0,75.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9,61.9
DOLUTEGRAVIR,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,75.0,55.0,50.0,37.0,40.0,gold_ml_predicted,0.9,57.8
LEVOSIMENDAN,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,69.0,59.0,77.0,52.0,54.0,46.0,49.0,gold_ml_predicted,0.9,60.4
TRAMETINIB,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,69.0,56.0,53.0,37.0,41.0,gold_ml_predicted,0.9,56.7
DEXPRAMIPEXOLE DIHYDROCHLORIDE,CCCN[C@@H]1CCc2nc(N)sc2C1.Cl.Cl.O,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,gold_ml_predicted,0.9,61.9
QUINIDINE SULFATE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,58.0,75.0,56.0,54.0,46.0,53.0,gold_ml_predicted,0.9,59.9
VOTOPLAM,CC1(C)CC(n2nnc3cc(-c4ccc(-n5nccn5)cc4O)nnc32)CC(C)(C)N1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,63.0,57.0,57.0,53.0,47.0,53.0,gold_ml_predicted,0.9,57.6
DALZANEMDOR,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,62.0,60.0,56.0,56.0,44.0,49.0,gold_ml_predicted,0.9,58.6
BRANAPLAM HYDROCHLORIDE,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1.Cl,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9,56.6
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,77.0,56.0,53.0,38.0,41.0,gold_ml_predicted,0.9,59.2
VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,57.0,60.0,74.0,52.0,52.0,37.0,42.0,gold_ml_predicted,0.9,56.1
TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,61.0,77.0,59.0,51.0,37.0,41.0,gold_ml_predicted,0.9,58.9
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,67.0,74.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9,62.1
SERINE,N[C@@H](CO)C(=O)O,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,63.0,64.0,73.0,51.0,51.0,38.0,41.0,gold_ml_predicted,0.9,57.9
PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,56.0,50.0,37.0,41.0,gold_ml_predicted,0.9,58.1
METHYLPREDNISOLONE,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,62.0,77.0,50.0,49.0,37.0,41.0,gold_ml_predicted,0.9,57.5
DEXMEDETOMIDINE,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,70.0,61.0,73.0,55.0,56.0,47.0,50.0,gold_ml_predicted,0.9,61.3
FASUDIL,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,65.0,64.0,72.0,51.0,52.0,36.0,43.0,gold_ml_predicted,0.9,58.3
ENOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,64.0,78.0,54.0,53.0,37.0,40.0,gold_ml_predicted,0.9,59.8
CLENBUTEROL,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,72.0,64.0,71.0,52.0,56.0,46.0,52.0,gold_ml_predicted,0.9,61.7
LACOSAMIDE,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,64.0,65.0,73.0,58.0,54.0,37.0,42.0,gold_ml_predicted,0.9,59.7
PRAMIPEXOLE,CCCN[C@H]1CCc2nc(N)sc2C1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,75.0,52.0,54.0,44.0,47.0,gold_ml_predicted,0.9,61.9
ALEPLASININ,Cc1cccc(-c2ccc3c(c2)c(C(=O)C(=O)O)cn3Cc2ccc(C(C)(C)C)cc2)c1,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,73.0,65.0,59.0,80.0,55.0,67.0,gold_ml_predicted,0.9,68.5
POZANICLINE,Cc1ncccc1OC[C@@H]1CCCN1,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,64.0,54.0,80.0,56.0,70.0,gold_ml_predicted,0.9,67.9
QUINIDINE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,61.0,74.0,56.0,54.0,47.0,53.0,gold_ml_predicted,0.9,60.6
SARACATINIB,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,75.0,63.0,58.0,79.0,56.0,68.0,gold_ml_predicted,0.9,68.9
PIMOZIDE,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,62.0,70.0,55.0,53.0,38.0,41.0,gold_ml_predicted,0.9,57.4
MYCOPHENOLATE MOFETIL,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,73.0,56.0,51.0,36.0,40.0,gold_ml_predicted,0.9,57.7
SEMAGACESTAT,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,73.0,63.0,65.0,78.0,56.0,68.0,gold_ml_predicted,0.9,69.1
MEMANTINE HYDROCHLORIDE,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,63.0,74.0,56.0,54.0,45.0,47.0,gold_ml_predicted,0.9,61.1
PIOGLITAZONE HYDROCHLORIDE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,74.0,55.0,57.0,46.0,53.0,gold_ml_predicted,0.9,60.4
AVAGACESTAT,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,74.0,65.0,58.0,79.0,58.0,75.0,gold_ml_predicted,0.9,69.4
SUVOREXANT,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,71.0,67.0,58.0,81.0,55.0,74.0,gold_ml_predicted,0.9,69.3
CARBIDOPA,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,71.0,53.0,49.0,38.0,41.0,gold_ml_predicted,0.9,57.4
DEXTROMETHORPHAN HYDROBROMIDE,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,gold_ml_predicted,0.9,60.6
FLORBETAPIR F 18,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,75.0,62.0,62.0,79.0,56.0,70.0,gold_ml_predicted,0.9,69.7
