name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight,nps,phenolic_oh_count,catechol_flag,aromatic_ring_count,hbd_count,tpsa,rotatable_bonds
Sesamin,C1OC2=CC3=C(C=C2O1)C(OCC1=CC2=C(C=C1)OCO2)CO3,Medium,Lignan / Sesame Seed,curated,1,1,0,0,80.0,80.0,60.0,60.0,60.0,50.0,60.0,gold_literature,1.0,67.9,0,1,2,0,55.4,3
Oleic Acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,High,Monounsaturated Fatty Acid (Omega-9),curated,1,0,0,0,60.0,70.0,60.0,50.0,60.0,50.0,60.0,gold_literature,1.0,60.0,0,0,0,1,37.3,15
Donepezil,COc1cc2c(cc1OC)CC(CC(=O)Cc1ccc(OC)c(OC)c1)C2,High,AChE Inhibitor Drug — FDA-approved Alzheimer's (DrugBank DB00843),curated,2,1,0,0,50.0,70.0,50.0,80.0,90.0,50.0,80.0,gold_literature,1.0,66.4,0,1,2,0,54.0,8
Rivastigmine,CCN(C)C(=O)Oc1cccc(C(C)N(C)CC)c1,High,AChE/BuChE Inhibitor Drug — FDA-approved AD/PD Dementia (DrugBank DB00989),curated,2,2,0,0,40.0,60.0,50.0,70.0,80.0,40.0,70.0,gold_literature,1.0,57.9,0,0,1,0,32.8,5
Rasagiline,C#CN1CCC2=CC=CC=C12,High,MAO-B Inhibitor Drug — FDA-approved Parkinson's (ChEMBL CHEMBL1016),curated,0,2,0,0,60.0,60.0,70.0,80.0,70.0,60.0,60.0,gold_literature,1.0,65.7,0,0,1,0,3.2,0
Selegiline,C#CCN(C)C(C)Cc1ccccc1,High,MAO-B Inhibitor Drug — FDA-approved Parkinson's (DrugBank DB01037 / ChEMBL897),curated,1,2,0,0,60.0,60.0,70.0,70.0,70.0,50.0,60.0,gold_literature,1.0,63.6,0,0,1,0,3.2,4
Icariin,COc1ccc(C2=COc3cc(OC)cc(O)c3C2=O)cc1OC,Medium,Prenylated Flavonol Glycoside / Epimedium (ChEMBL),curated,2,1,0,0,80.0,70.0,60.0,70.0,80.0,80.0,70.0,gold_literature,1.0,72.9,1,1,3,1,78.1,4
Ferulic Acid,COc1cc(/C=C/C(=O)O)ccc1O,Medium,Hydroxycinnamic Acid Phenolic / Plant Cell Walls (ChEMBL),curated,2,1,0,0,80.0,80.0,60.0,80.0,60.0,60.0,60.0,gold_literature,1.0,71.4,1,1,1,2,66.8,3
Rosmarinic Acid,OC(/C=C/c1ccc(O)c(O)c1)C(=O)Oc1ccc(O)c(O)c1,Medium,Polyphenol Ester / Rosemary & Herbs (ChEMBL),curated,1,1,0,0,90.0,80.0,60.0,70.0,60.0,50.0,60.0,gold_literature,1.0,71.4,4,1,2,5,127.5,4
Ellagic Acid,O=c1oc2cc(O)c(O)cc2c2cc(O)c(O)cc12,Low,"Polyphenol / Pomegranate, Berries (ChEMBL)",curated,1,1,0,0,90.0,80.0,70.0,70.0,60.0,50.0,50.0,gold_literature,1.0,72.1,4,1,3,4,111.1,0
Thymoquinone,CC1=CC(=O)C(C(C)C)=CC1=O,High,Monoterpene Ketone / Nigella sativa (ChEMBL),curated,1,2,0,0,90.0,80.0,70.0,70.0,70.0,60.0,60.0,gold_literature,1.0,75.0,0,0,0,0,34.1,1
Caffeic Acid,OC(=O)/C=C/c1ccc(O)c(O)c1,Medium,"Hydroxycinnamic Acid / Coffee, Fruits (ChEMBL)",curated,1,0,0,0,80.0,70.0,60.0,60.0,60.0,50.0,60.0,gold_literature,1.0,65.7,2,1,1,3,77.8,2
Proanthocyanidin (OPC),OC1Cc2c(O)cc(O)cc2OC1c1cc(C2Cc3c(O)cc(O)cc3OC2O)ccc1O,Low,"Oligomeric Flavan-3-ol / Grape Seed, Pine Bark (ChEMBL)",curated,1,1,0,0,90.0,80.0,70.0,70.0,60.0,50.0,60.0,gold_literature,1.0,72.9,5,0,3,7,160.1,2
Mangiferin,OCC1OC(Oc2c(O)cc3oc4cc(O)cc(O)c4c(=O)c3c2O)C(O)C(O)C1O,Low,C-glucosyl Xanthone / Mango (ChEMBL),curated,1,1,0,0,80.0,80.0,70.0,70.0,70.0,60.0,60.0,gold_literature,1.0,72.9,4,1,3,8,210.5,3
Baicalin,O=c1cc(-c2ccccc2)oc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)c(O)c(O)c12,Medium,Flavone Glucuronide / Scutellaria baicalensis (ChEMBL),curated,2,1,1,1,80.0,80.0,60.0,70.0,70.0,70.0,70.0,gold_literature,1.0,72.9,2,1,3,6,187.1,4
Carnosic Acid,CC(C)c1cc2cc(O)c(O)cc2c(C(=O)O)c1,High,Diterpene Phenol / Rosemary (ChEMBL),curated,1,2,0,0,90.0,80.0,70.0,70.0,70.0,70.0,60.0,gold_literature,1.0,75.7,2,1,2,3,77.8,2
Valproic Acid,CCCC(CCC)C(=O)O,High,HDAC Inhibitor Drug — FDA-approved Epilepsy/Bipolar (DrugBank DB00313),curated,1,0,1,1,50.0,70.0,50.0,70.0,60.0,70.0,60.0,gold_literature,1.0,60.7,0,0,0,1,37.3,5
Nicotinamide,NC(=O)c1cccnc1,High,Vitamin B3 Amide / NAD+ Precursor (DrugBank DB00627),curated,1,0,0,1,60.0,60.0,80.0,60.0,60.0,50.0,50.0,gold_literature,1.0,61.4,0,0,1,1,56.0,1
Ergothioneine,,High,Thiol Amino Acid Antioxidant / Mushrooms (ChEMBL),curated,1,1,1,0,90.0,70.0,70.0,70.0,60.0,50.0,50.0,gold_literature,1.0,70.0,0,0,0,0,80.0,5
Naringin,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2)Oc2cc(O)cc(O)c21,Low,Flavanone Glycoside / Citrus peel (ChEMBL),curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0,64.3,2,0,2,8,225.1,6
Hesperidin,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O,Low,Flavanone Glycoside / Citrus peel (DrugBank DB13745),curated,1,0,0,0,70.0,70.0,60.0,60.0,70.0,50.0,60.0,gold_literature,1.0,65.0,2,1,2,8,234.3,7
Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Medium,"Flavone / Honey, Propolis (ChEMBL)",curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0,64.3,2,0,3,2,70.7,1
Aspirin,CC(=O)Oc1ccccc1C(=O)O,Moderate,NSAID / Salicylate,curated,0,0,0,0,20.0,50.0,20.0,30.0,30.0,20.0,20.0,gold_literature,1.0,29.3,0,0,1,1,63.6,2
Levodopa,NC(Cc1ccc(O)c(O)c1)C(=O)O,High,FDA-Approved Drug,curated,0,2,0,0,50.0,40.0,50.0,40.0,60.0,40.0,60.0,gold_literature,1.0,47.9,2,1,1,4,103.8,3
Riluzole,Nc1nc2cc(OC(F)(F)F)ccc2s1,High,FDA-Approved Drug,curated,0,0,2,0,60.0,70.0,60.0,50.0,50.0,40.0,50.0,gold_literature,1.0,57.1,0,0,2,1,48.1,1
Edaravone,Cc1cc(=O)[nH]n1-c1ccccc1,Medium,FDA-Approved Drug,curated,0,0,2,0,90.0,70.0,70.0,50.0,50.0,40.0,40.0,gold_literature,1.0,64.3,0,0,2,1,37.8,1
Tetrabenazine,COc1ccc2c(c1OC)CC(=O)CC2C1CCN(C)CC1,High,FDA-Approved Drug,curated,0,0,0,2,30.0,40.0,40.0,50.0,50.0,30.0,40.0,gold_literature,1.0,40.0,0,1,1,0,38.8,3
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,gold_ml_predicted,0.9,10.0,0,0,2,1,40.5,6
ROLIPRAM,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,58.0,58.0,57.0,57.0,54.0,45.0,48.0,gold_ml_predicted,0.9,55.5,0,1,1,1,47.6,4
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,gold_ml_predicted,0.9,10.0,0,0,3,0,64.2,4
FENOFIBRATE,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,60.0,46.0,47.0,50.0,35.0,42.0,gold_ml_predicted,0.9,50.8,0,0,2,0,52.6,6
OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,62.0,59.0,53.0,51.0,46.0,51.0,gold_ml_predicted,0.9,56.4,0,0,2,1,30.9,0
BIOTIN,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,54.0,61.0,51.0,58.0,52.0,35.0,42.0,gold_ml_predicted,0.9,53.1,0,0,0,3,78.4,5
EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,59.0,51.0,53.0,52.0,36.0,42.0,gold_ml_predicted,0.9,53.1,8,1,3,8,197.4,3
BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,61.0,46.0,52.0,48.0,37.0,42.0,gold_ml_predicted,0.9,51.6,0,0,1,1,29.1,3
LAQUINIMOD,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,59.0,48.0,51.0,49.0,37.0,41.0,gold_ml_predicted,0.9,51.6,1,0,3,1,62.5,3
CANNABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,56.0,48.0,51.0,49.0,34.0,41.0,gold_ml_predicted,0.9,50.5,1,0,2,1,29.5,4
NEFLAMAPIMOD,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,61.0,56.0,52.0,56.0,45.0,51.0,gold_ml_predicted,0.9,56.9,0,0,4,0,47.3,3
CANNABIDIOL,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,59.0,58.0,55.0,54.0,45.0,47.0,gold_ml_predicted,0.9,56.8,2,0,1,2,40.5,6
MINOCYCLINE,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,57.0,50.0,52.0,50.0,36.0,40.0,gold_ml_predicted,0.9,52.2,1,0,1,5,164.6,3
SRX246,C[C@@H](NC(=O)[C@@H](CC(=O)N1CCC(N2CCCCC2)CC1)N1C(=O)[C@@H](N2C(=O)OC[C@@H]2c2ccccc2)[C@H]1/C=C/c1ccccc1)c1cccc(C(F)(F)F)c1,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,56.0,47.0,57.0,51.0,35.0,41.0,gold_ml_predicted,0.9,51.8,0,0,3,1,102.5,11
NILOTINIB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,58.0,47.0,53.0,53.0,36.0,43.0,gold_ml_predicted,0.9,51.9,0,0,5,2,97.6,6
URSODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,55.0,60.0,48.0,55.0,51.0,36.0,41.0,gold_ml_predicted,0.9,52.1,0,0,0,3,77.8,4
UBIDECARENONE,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,60.0,56.0,59.0,54.0,44.0,49.0,gold_ml_predicted,0.9,57.1,0,0,0,0,52.6,31
SERTRALINE HYDROCHLORIDE,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,60.0,58.0,55.0,56.0,45.0,49.0,gold_ml_predicted,0.9,57.4,0,0,2,1,12.0,2
MARDEPODECT,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,57.0,56.0,56.0,52.0,46.0,50.0,gold_ml_predicted,0.9,55.6,0,0,5,0,52.8,5
SODIUM PHENYLBUTYRATE,O=C([O-])CCCc1ccccc1.[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,49.0,56.0,49.0,51.0,53.0,37.0,43.0,gold_ml_predicted,0.9,50.1,0,0,1,0,40.1,4
LATREPIRDINE,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,65.0,60.0,58.0,57.0,54.0,48.0,49.0,gold_ml_predicted,0.9,57.9,0,0,3,0,21.1,3
PRIDOPIDINE,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,55.0,57.0,53.0,55.0,43.0,49.0,gold_ml_predicted,0.9,54.1,0,0,1,0,37.4,4
TIAPRIDE HYDROCHLORIDE,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,57.0,48.0,53.0,50.0,34.0,40.0,gold_ml_predicted,0.9,51.7,0,0,1,1,75.7,8
DIVALPROEX SODIUM,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,46.0,56.0,48.0,52.0,53.0,36.0,43.0,gold_ml_predicted,0.9,49.4,0,0,0,1,77.4,10
BEVANTOLOL HYDROCHLORIDE,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC.Cl,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,64.0,63.0,58.0,57.0,52.0,45.0,49.0,gold_ml_predicted,0.9,57.8,0,1,2,2,60.0,10
VALBENAZINE,COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,60.0,48.0,57.0,50.0,36.0,40.0,gold_ml_predicted,0.9,52.6,0,1,1,1,74.0,7
MAVOGLURANT,COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,59.0,48.0,55.0,51.0,35.0,40.0,gold_ml_predicted,0.9,52.0,0,0,1,1,49.8,0
PBF-999,C#CCNc1nc(-n2cncn2)nc(N)c1Br,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,58.0,56.0,52.0,54.0,47.0,49.0,gold_ml_predicted,0.9,55.9,0,0,2,2,94.5,3
BRANAPLAM,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9,56.6,1,0,3,3,96.0,4
GSK-356278,CCn1ncc2c(NC3CCOCC3)c(-c3nnc(Cc4sc(C)nc4C)o3)cnc21,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,60.0,60.0,51.0,58.0,51.0,37.0,41.0,gold_ml_predicted,0.9,54.1,0,0,4,1,103.8,6
TRIHEPTANOIN,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,62.0,48.0,55.0,51.0,36.0,42.0,gold_ml_predicted,0.9,53.1,0,0,0,0,78.9,20
CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,71.0,50.0,57.0,48.0,51.0,gold_ml_predicted,0.9,59.3,0,0,1,3,88.9,5
MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,74.0,57.0,51.0,37.0,41.0,gold_ml_predicted,0.9,57.3,0,0,2,2,83.8,4
PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,47.0,50.0,38.0,42.0,gold_ml_predicted,0.9,57.0,0,0,2,2,77.8,2
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,65.0,76.0,55.0,51.0,38.0,41.0,gold_ml_predicted,0.9,59.5,1,0,1,1,29.5,4
COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,61.0,71.0,50.0,54.0,38.0,42.0,gold_ml_predicted,0.9,56.6,0,1,2,1,83.1,5
CELECOXIB,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,74.0,64.0,78.0,55.0,55.0,46.0,50.0,gold_ml_predicted,0.9,63.3,0,0,3,1,78.0,3
ACETYLCYSTEINE,CC(=O)N[C@@H](CS)C(=O)O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,58.0,61.0,48.0,52.0,51.0,35.0,41.0,gold_ml_predicted,0.9,52.5,0,0,0,3,66.4,3
IBUDILAST,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,63.0,74.0,52.0,50.0,38.0,42.0,gold_ml_predicted,0.9,57.6,0,0,2,0,34.4,3
EZOGABINE,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,59.0,73.0,52.0,52.0,37.0,43.0,gold_ml_predicted,0.9,56.3,0,0,2,3,76.4,5
DEXTROMETHORPHAN,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,gold_ml_predicted,0.9,60.6,0,0,1,0,12.5,1
RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,60.0,74.0,54.0,54.0,37.0,43.0,gold_ml_predicted,0.9,57.9,0,0,4,4,145.8,17
CAPSAICIN,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,64.0,74.0,55.0,49.0,37.0,40.0,gold_ml_predicted,0.9,57.5,1,1,1,2,58.6,9
CREATININE,CN1CC(=O)NC1=N,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,67.0,74.0,56.0,54.0,47.0,48.0,gold_ml_predicted,0.9,63.1,0,0,0,2,56.2,0
DEFERIPRONE,Cc1c(O)c(=O)ccn1C,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,66.0,72.0,49.0,53.0,46.0,52.0,gold_ml_predicted,0.9,60.4,1,0,1,1,42.2,0
ISTRADEFYLLINE,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,64.0,71.0,57.0,52.0,49.0,48.0,gold_ml_predicted,0.9,61.1,0,1,3,0,80.3,6
INOSINE,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Low,Clinical Candidate,chembl_ml_predicted,0,0,2,0,70.0,60.0,76.0,51.0,53.0,43.0,48.0,gold_ml_predicted,0.9,60.1,0,0,2,4,133.5,2
ATROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,59.0,73.0,57.0,51.0,39.0,41.0,gold_ml_predicted,0.9,57.3,0,0,1,1,49.8,4
DUTASTERIDE,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,64.0,76.0,53.0,53.0,37.0,42.0,gold_ml_predicted,0.9,58.9,0,0,1,2,58.2,2
DEXTROSE,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,65.0,75.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9,61.9,0,0,0,5,110.4,1
DOLUTEGRAVIR,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,75.0,55.0,50.0,37.0,40.0,gold_ml_predicted,0.9,57.8,1,0,2,2,100.9,3
LEVOSIMENDAN,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,69.0,59.0,77.0,52.0,54.0,46.0,49.0,gold_ml_predicted,0.9,60.4,0,0,1,2,113.4,3
TRAMETINIB,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,69.0,56.0,53.0,37.0,41.0,gold_ml_predicted,0.9,56.7,0,0,4,2,107.1,5
DEXPRAMIPEXOLE DIHYDROCHLORIDE,CCCN[C@@H]1CCc2nc(N)sc2C1.Cl.Cl.O,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,gold_ml_predicted,0.9,61.9,0,0,1,2,82.4,3
QUINIDINE SULFATE,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,58.0,75.0,56.0,54.0,46.0,53.0,gold_ml_predicted,0.9,59.9,0,0,4,4,228.8,8
VOTOPLAM,CC1(C)CC(n2nnc3cc(-c4ccc(-n5nccn5)cc4O)nnc32)CC(C)(C)N1,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,63.0,57.0,57.0,53.0,47.0,53.0,gold_ml_predicted,0.9,57.6,1,0,4,2,119.5,3
DALZANEMDOR,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,62.0,60.0,56.0,56.0,44.0,49.0,gold_ml_predicted,0.9,58.6,0,0,0,2,40.5,4
BRANAPLAM HYDROCHLORIDE,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1.Cl,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9,56.6,1,0,3,3,96.0,4
CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,77.0,56.0,53.0,38.0,41.0,gold_ml_predicted,0.9,59.2,0,0,2,2,74.6,3
VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+],High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,57.0,60.0,74.0,52.0,52.0,37.0,42.0,gold_ml_predicted,0.9,56.1,0,0,0,0,40.1,5
TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,61.0,77.0,59.0,51.0,37.0,41.0,gold_ml_predicted,0.9,58.9,0,0,0,1,37.3,5
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,67.0,74.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9,62.1,0,0,1,1,83.6,1
SERINE,N[C@@H](CO)C(=O)O,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,63.0,64.0,73.0,51.0,51.0,38.0,41.0,gold_ml_predicted,0.9,57.9,0,0,0,3,83.5,2
PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,56.0,50.0,37.0,41.0,gold_ml_predicted,0.9,58.1,0,0,0,2,91.7,2
