name,smiles,bbb,compound_type,data_source,ad_target_count,pd_target_count,als_target_count,hd_target_count,antioxidant,anti_inflammatory,mitochondrial_support,aggregation_modulation,cognitive_enhancement,neurogenesis,synaptic_plasticity,tier,sample_weight
Nicotinamide,NC(=O)c1cccnc1,High,Vitamin B3 Amide / NAD+ Precursor (DrugBank DB00627),curated,1,0,0,1,60.0,60.0,80.0,60.0,60.0,50.0,50.0,gold_literature,1.0
Ergothioneine,,High,Thiol Amino Acid Antioxidant / Mushrooms (ChEMBL),curated,1,1,1,0,90.0,70.0,70.0,70.0,60.0,50.0,50.0,gold_literature,1.0
Naringin,O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2)Oc2cc(O)cc(O)c21,Low,Flavanone Glycoside / Citrus peel (ChEMBL),curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0
Hesperidin,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O,Low,Flavanone Glycoside / Citrus peel (DrugBank DB13745),curated,1,0,0,0,70.0,70.0,60.0,60.0,70.0,50.0,60.0,gold_literature,1.0
Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Medium,"Flavone / Honey, Propolis (ChEMBL)",curated,1,1,0,0,70.0,70.0,60.0,60.0,60.0,60.0,60.0,gold_literature,1.0
Aspirin,CC(=O)Oc1ccccc1C(=O)O,Moderate,NSAID / Salicylate,curated,0,0,0,0,20.0,50.0,20.0,30.0,30.0,20.0,20.0,gold_literature,1.0
Levodopa,NC(Cc1ccc(O)c(O)c1)C(=O)O,High,FDA-Approved Drug,curated,0,2,0,0,50.0,40.0,50.0,40.0,60.0,40.0,60.0,gold_literature,1.0
Riluzole,Nc1nc2cc(OC(F)(F)F)ccc2s1,High,FDA-Approved Drug,curated,0,0,2,0,60.0,70.0,60.0,50.0,50.0,40.0,50.0,gold_literature,1.0
Edaravone,Cc1cc(=O)[nH]n1-c1ccccc1,Medium,FDA-Approved Drug,curated,0,0,2,0,90.0,70.0,70.0,50.0,50.0,40.0,40.0,gold_literature,1.0
Tetrabenazine,COc1ccc2c(c1OC)CC(=O)CC2C1CCN(C)CC1,High,FDA-Approved Drug,curated,0,0,0,2,30.0,40.0,40.0,50.0,50.0,30.0,40.0,gold_literature,1.0
Deutetrabenazine,COc1ccc2c(c1OC)CC(=O)CC2C1CC[N](C)CC1,High,FDA-Approved Drug,curated,0,0,0,2,30.0,40.0,40.0,50.0,50.0,30.0,40.0,gold_literature,1.0
HALOPERIDOL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,60.0,48.0,48.0,52.0,36.0,41.0,gold_ml_predicted,0.9
ROLIPRAM,,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,58.0,58.0,57.0,57.0,54.0,45.0,48.0,gold_ml_predicted,0.9
RISPERIDONE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,63.0,60.0,57.0,56.0,55.0,43.0,48.0,gold_ml_predicted,0.9
FENOFIBRATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,60.0,46.0,47.0,50.0,35.0,42.0,gold_ml_predicted,0.9
OLANZAPINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,62.0,59.0,53.0,51.0,46.0,51.0,gold_ml_predicted,0.9
BIOTIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,54.0,61.0,51.0,58.0,52.0,35.0,42.0,gold_ml_predicted,0.9
EPIGALOCATECHIN GALLATE,,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,59.0,51.0,53.0,52.0,36.0,42.0,gold_ml_predicted,0.9
BUPROPION,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,61.0,46.0,52.0,48.0,37.0,42.0,gold_ml_predicted,0.9
LAQUINIMOD,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,59.0,48.0,51.0,49.0,37.0,41.0,gold_ml_predicted,0.9
CANNABINOL,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,56.0,48.0,51.0,49.0,34.0,41.0,gold_ml_predicted,0.9
NEFLAMAPIMOD,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,61.0,56.0,52.0,56.0,45.0,51.0,gold_ml_predicted,0.9
CANNABIDIOL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,59.0,58.0,55.0,54.0,45.0,47.0,gold_ml_predicted,0.9
MINOCYCLINE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,60.0,57.0,50.0,52.0,50.0,36.0,40.0,gold_ml_predicted,0.9
SRX246,,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,56.0,47.0,57.0,51.0,35.0,41.0,gold_ml_predicted,0.9
NILOTINIB,,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,56.0,58.0,47.0,53.0,53.0,36.0,43.0,gold_ml_predicted,0.9
URSODIOL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,55.0,60.0,48.0,55.0,51.0,36.0,41.0,gold_ml_predicted,0.9
UBIDECARENONE,,Low,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,60.0,56.0,59.0,54.0,44.0,49.0,gold_ml_predicted,0.9
SERTRALINE HYDROCHLORIDE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,64.0,60.0,58.0,55.0,56.0,45.0,49.0,gold_ml_predicted,0.9
MARDEPODECT,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,57.0,56.0,56.0,52.0,46.0,50.0,gold_ml_predicted,0.9
SODIUM PHENYLBUTYRATE,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,49.0,56.0,49.0,51.0,53.0,37.0,43.0,gold_ml_predicted,0.9
LATREPIRDINE,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,65.0,60.0,58.0,57.0,54.0,48.0,49.0,gold_ml_predicted,0.9
PRIDOPIDINE,,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,57.0,55.0,57.0,53.0,55.0,43.0,49.0,gold_ml_predicted,0.9
TIAPRIDE HYDROCHLORIDE,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,59.0,57.0,48.0,53.0,50.0,34.0,40.0,gold_ml_predicted,0.9
DIVALPROEX SODIUM,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,46.0,56.0,48.0,52.0,53.0,36.0,43.0,gold_ml_predicted,0.9
BEVANTOLOL HYDROCHLORIDE,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,0,2,64.0,63.0,58.0,57.0,52.0,45.0,49.0,gold_ml_predicted,0.9
VALBENAZINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,60.0,48.0,57.0,50.0,36.0,40.0,gold_ml_predicted,0.9
MAVOGLURANT,,High,Clinical Candidate,chembl_ml_predicted,0,0,0,2,56.0,59.0,48.0,55.0,51.0,35.0,40.0,gold_ml_predicted,0.9
PBF-999,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,63.0,58.0,56.0,52.0,54.0,47.0,49.0,gold_ml_predicted,0.9
BRANAPLAM,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9
GSK-356278,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,60.0,60.0,51.0,58.0,51.0,37.0,41.0,gold_ml_predicted,0.9
TRIHEPTANOIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,57.0,62.0,48.0,55.0,51.0,36.0,42.0,gold_ml_predicted,0.9
CIMETIDINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,71.0,50.0,57.0,48.0,51.0,gold_ml_predicted,0.9
MOXIFLOXACIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,74.0,57.0,51.0,37.0,41.0,gold_ml_predicted,0.9
PYRIMETHAMINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,47.0,50.0,38.0,42.0,gold_ml_predicted,0.9
DRONABINOL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,65.0,76.0,55.0,51.0,38.0,41.0,gold_ml_predicted,0.9
COLCHICINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,61.0,71.0,50.0,54.0,38.0,42.0,gold_ml_predicted,0.9
CELECOXIB,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,74.0,64.0,78.0,55.0,55.0,46.0,50.0,gold_ml_predicted,0.9
ACETYLCYSTEINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,0,2,58.0,61.0,48.0,52.0,51.0,35.0,41.0,gold_ml_predicted,0.9
IBUDILAST,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,63.0,74.0,52.0,50.0,38.0,42.0,gold_ml_predicted,0.9
EZOGABINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,59.0,73.0,52.0,52.0,37.0,43.0,gold_ml_predicted,0.9
DEXTROMETHORPHAN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,gold_ml_predicted,0.9
RITONAVIR,,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,60.0,74.0,54.0,54.0,37.0,43.0,gold_ml_predicted,0.9
CAPSAICIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,60.0,64.0,74.0,55.0,49.0,37.0,40.0,gold_ml_predicted,0.9
CREATININE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,67.0,74.0,56.0,54.0,47.0,48.0,gold_ml_predicted,0.9
DEFERIPRONE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,66.0,72.0,49.0,53.0,46.0,52.0,gold_ml_predicted,0.9
ISTRADEFYLLINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,64.0,71.0,57.0,52.0,49.0,48.0,gold_ml_predicted,0.9
INOSINE,,Low,Clinical Candidate,chembl_ml_predicted,0,0,2,0,70.0,60.0,76.0,51.0,53.0,43.0,48.0,gold_ml_predicted,0.9
ATROPINE,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,59.0,73.0,57.0,51.0,39.0,41.0,gold_ml_predicted,0.9
DUTASTERIDE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,64.0,76.0,53.0,53.0,37.0,42.0,gold_ml_predicted,0.9
DEXTROSE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,65.0,75.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9
DOLUTEGRAVIR,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,75.0,55.0,50.0,37.0,40.0,gold_ml_predicted,0.9
LEVOSIMENDAN,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,69.0,59.0,77.0,52.0,54.0,46.0,49.0,gold_ml_predicted,0.9
TRAMETINIB,,Low,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,59.0,61.0,69.0,56.0,53.0,37.0,41.0,gold_ml_predicted,0.9
DEXPRAMIPEXOLE DIHYDROCHLORIDE,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,gold_ml_predicted,0.9
QUINIDINE SULFATE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,65.0,58.0,75.0,56.0,54.0,46.0,53.0,gold_ml_predicted,0.9
VOTOPLAM,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,61.0,63.0,57.0,57.0,53.0,47.0,53.0,gold_ml_predicted,0.9
DALZANEMDOR,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,62.0,60.0,56.0,56.0,44.0,49.0,gold_ml_predicted,0.9
BRANAPLAM HYDROCHLORIDE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,0,2,66.0,60.0,58.0,54.0,50.0,42.0,49.0,gold_ml_predicted,0.9
CIPROFLOXACIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,77.0,56.0,53.0,38.0,41.0,gold_ml_predicted,0.9
VALPROATE SODIUM,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,57.0,60.0,74.0,52.0,52.0,37.0,42.0,gold_ml_predicted,0.9
TRETINOIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,61.0,77.0,59.0,51.0,37.0,41.0,gold_ml_predicted,0.9
THALIDOMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,72.0,67.0,74.0,52.0,54.0,45.0,48.0,gold_ml_predicted,0.9
SERINE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,0,2,0,63.0,64.0,73.0,51.0,51.0,38.0,41.0,gold_ml_predicted,0.9
PREDNISONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,63.0,76.0,56.0,50.0,37.0,41.0,gold_ml_predicted,0.9
METHYLPREDNISOLONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,62.0,77.0,50.0,49.0,37.0,41.0,gold_ml_predicted,0.9
DEXMEDETOMIDINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,70.0,61.0,73.0,55.0,56.0,47.0,50.0,gold_ml_predicted,0.9
FASUDIL,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,65.0,64.0,72.0,51.0,52.0,36.0,43.0,gold_ml_predicted,0.9
ENOXACIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,64.0,78.0,54.0,53.0,37.0,40.0,gold_ml_predicted,0.9
CLENBUTEROL,,Medium,Clinical Candidate,chembl_ml_predicted,0,0,2,0,72.0,64.0,71.0,52.0,56.0,46.0,52.0,gold_ml_predicted,0.9
LACOSAMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,64.0,65.0,73.0,58.0,54.0,37.0,42.0,gold_ml_predicted,0.9
PRAMIPEXOLE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,75.0,52.0,54.0,44.0,47.0,gold_ml_predicted,0.9
ALEPLASININ,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,73.0,65.0,59.0,80.0,55.0,67.0,gold_ml_predicted,0.9
POZANICLINE,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,64.0,54.0,80.0,56.0,70.0,gold_ml_predicted,0.9
QUINIDINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,61.0,74.0,56.0,54.0,47.0,53.0,gold_ml_predicted,0.9
SARACATINIB,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,75.0,63.0,58.0,79.0,56.0,68.0,gold_ml_predicted,0.9
PIMOZIDE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,61.0,62.0,70.0,55.0,53.0,38.0,41.0,gold_ml_predicted,0.9
MYCOPHENOLATE MOFETIL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,62.0,62.0,73.0,56.0,51.0,36.0,40.0,gold_ml_predicted,0.9
SEMAGACESTAT,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,73.0,63.0,65.0,78.0,56.0,68.0,gold_ml_predicted,0.9
MEMANTINE HYDROCHLORIDE,,High,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,69.0,63.0,74.0,56.0,54.0,45.0,47.0,gold_ml_predicted,0.9
PIOGLITAZONE HYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,66.0,59.0,74.0,55.0,57.0,46.0,53.0,gold_ml_predicted,0.9
AVAGACESTAT,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,71.0,74.0,65.0,58.0,79.0,58.0,75.0,gold_ml_predicted,0.9
SUVOREXANT,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,71.0,67.0,58.0,81.0,55.0,74.0,gold_ml_predicted,0.9
CARBIDOPA,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,63.0,63.0,71.0,53.0,49.0,38.0,41.0,gold_ml_predicted,0.9
DEXTROMETHORPHAN HYDROBROMIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,67.0,62.0,74.0,54.0,55.0,45.0,51.0,gold_ml_predicted,0.9
FLORBETAPIR F 18,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,75.0,62.0,62.0,79.0,56.0,70.0,gold_ml_predicted,0.9
VELUSETRAG,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,70.0,66.0,58.0,80.0,57.0,69.0,gold_ml_predicted,0.9
ICOSAPENT ETHYL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,64.0,58.0,75.0,62.0,68.0,gold_ml_predicted,0.9
UDENAFIL,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,74.0,62.0,63.0,78.0,58.0,71.0,gold_ml_predicted,0.9
CERLAPIRDINE,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,53.0,82.0,59.0,72.0,gold_ml_predicted,0.9
PRAMIPEXOLE DIHYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,0,2,0,73.0,65.0,74.0,52.0,54.0,44.0,48.0,gold_ml_predicted,0.9
GEMFIBROZIL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,72.0,63.0,58.0,80.0,55.0,71.0,gold_ml_predicted,0.9
ADENOSINE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,60.0,61.0,56.0,57.0,45.0,50.0,gold_ml_predicted,0.9
IDAZOXAN,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,75.0,72.0,63.0,58.0,79.0,57.0,70.0,gold_ml_predicted,0.9
BROMOCRIPTINE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,75.0,74.0,66.0,60.0,81.0,57.0,71.0,gold_ml_predicted,0.9
FLUCONAZOLE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,67.0,68.0,63.0,54.0,79.0,57.0,71.0,gold_ml_predicted,0.9
ISOTRETINOIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,72.0,66.0,61.0,80.0,59.0,71.0,gold_ml_predicted,0.9
LORAZEPAM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,70.0,67.0,53.0,79.0,60.0,66.0,gold_ml_predicted,0.9
ROPINIROLE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,60.0,60.0,54.0,60.0,54.0,40.0,43.0,gold_ml_predicted,0.9
ESTRADIOL,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,70.0,65.0,62.0,79.0,55.0,65.0,gold_ml_predicted,0.9
LAMIVUDINE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,69.0,65.0,59.0,82.0,59.0,76.0,gold_ml_predicted,0.9
MEDROXYPROGESTERONE ACETATE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,68.0,68.0,66.0,60.0,78.0,58.0,67.0,gold_ml_predicted,0.9
"LIPOIC ACID, ALPHA",,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,68.0,64.0,57.0,80.0,54.0,71.0,gold_ml_predicted,0.9
ITRACONAZOLE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,72.0,62.0,50.0,80.0,59.0,71.0,gold_ml_predicted,0.9
ACITRETIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,69.0,65.0,62.0,78.0,55.0,66.0,gold_ml_predicted,0.9
LEVETIRACETAM,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,70.0,63.0,55.0,78.0,57.0,69.0,gold_ml_predicted,0.9
RIFAMPIN,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,64.0,56.0,77.0,56.0,66.0,gold_ml_predicted,0.9
ATORVASTATIN CALCIUM,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,70.0,66.0,58.0,79.0,56.0,70.0,gold_ml_predicted,0.9
PRELADENANT,,Low,Clinical Candidate,chembl_ml_predicted,0,2,0,0,63.0,61.0,52.0,56.0,55.0,42.0,43.0,gold_ml_predicted,0.9
ARGININE,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,66.0,54.0,74.0,58.0,67.0,gold_ml_predicted,0.9
ESCITALOPRAM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,70.0,70.0,63.0,56.0,82.0,60.0,72.0,gold_ml_predicted,0.9
NEFIRACETAM,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,70.0,74.0,64.0,59.0,78.0,55.0,69.0,gold_ml_predicted,0.9
AMANTADINE HYDROCHLORIDE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,69.0,64.0,63.0,56.0,55.0,45.0,51.0,gold_ml_predicted,0.9
RIFAXIMIN,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,71.0,66.0,57.0,79.0,55.0,69.0,gold_ml_predicted,0.9
FOLIC ACID,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,69.0,73.0,63.0,53.0,78.0,57.0,66.0,gold_ml_predicted,0.9
PROPRANOLOL HYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,71.0,65.0,63.0,60.0,56.0,47.0,52.0,gold_ml_predicted,0.9
NILVADIPINE,,Low,Clinical Candidate,chembl_ml_predicted,2,0,0,0,74.0,69.0,63.0,53.0,78.0,57.0,67.0,gold_ml_predicted,0.9
HYDRALAZINE HYDROCHLORIDE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,74.0,71.0,64.0,55.0,78.0,58.0,71.0,gold_ml_predicted,0.9
DOXYCYCLINE,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,64.0,56.0,81.0,56.0,74.0,gold_ml_predicted,0.9
OMEGA-3-ACID ETHYL ESTERS,,Low,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,70.0,63.0,58.0,76.0,62.0,69.0,gold_ml_predicted,0.9
NAPROXEN SODIUM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,62.0,67.0,76.0,54.0,67.0,gold_ml_predicted,0.9
ISOCARBOXAZID,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,71.0,69.0,64.0,56.0,78.0,59.0,65.0,gold_ml_predicted,0.9
MIFEPRISTONE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,67.0,53.0,81.0,59.0,72.0,gold_ml_predicted,0.9
FLUDEOXYGLUCOSE F 18,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,73.0,66.0,58.0,80.0,59.0,69.0,gold_ml_predicted,0.9
DROXIDOPA,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,68.0,65.0,53.0,57.0,55.0,41.0,43.0,gold_ml_predicted,0.9
BREXPIPRAZOLE,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,73.0,67.0,58.0,81.0,57.0,75.0,gold_ml_predicted,0.9
IOFLUPANE I 123,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,63.0,63.0,53.0,58.0,54.0,43.0,43.0,gold_ml_predicted,0.9
NICOTINE,,High,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,67.0,62.0,59.0,56.0,59.0,47.0,51.0,gold_ml_predicted,0.9
FLUMAZENIL,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,61.0,52.0,52.0,56.0,40.0,42.0,gold_ml_predicted,0.9
DIAZEPAM,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,73.0,71.0,67.0,55.0,76.0,58.0,66.0,gold_ml_predicted,0.9
CLOZAPINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,71.0,65.0,50.0,81.0,60.0,68.0,gold_ml_predicted,0.9
LOVASTATIN,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,67.0,60.0,53.0,60.0,53.0,41.0,42.0,gold_ml_predicted,0.9
CARBAMAZEPINE,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,69.0,66.0,54.0,77.0,55.0,67.0,gold_ml_predicted,0.9
ACETAMINOPHEN,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,66.0,65.0,52.0,53.0,54.0,40.0,43.0,gold_ml_predicted,0.9
BROMAZEPAM,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,71.0,68.0,59.0,83.0,56.0,70.0,gold_ml_predicted,0.9
BROTIZOLAM,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,72.0,67.0,67.0,52.0,79.0,57.0,66.0,gold_ml_predicted,0.9
PIRACETAM,,Low-Med,Clinical Candidate,chembl_ml_predicted,2,0,0,0,73.0,73.0,66.0,57.0,81.0,61.0,70.0,gold_ml_predicted,0.9
BENPERIDOL,,Medium,Clinical Candidate,chembl_ml_predicted,2,0,0,0,72.0,71.0,65.0,61.0,78.0,57.0,71.0,gold_ml_predicted,0.9
SAFINAMIDE MESYLATE,,Medium,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,60.0,52.0,54.0,51.0,40.0,43.0,gold_ml_predicted,0.9
ENTACAPONE,,Low,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,65.0,62.0,56.0,53.0,52.0,41.0,42.0,gold_ml_predicted,0.9
CHOLECALCIFEROL,,Low-Med,FDA-Approved Drug,chembl_ml_predicted,0,2,0,0,72.0,63.0,60.0,62.0,58.0,47.0,50.0,gold_ml_predicted,0.9
PREGABALIN,,Medium,FDA-Approved Drug,chembl_ml_predicted,2,0,0,0,65.0,68.0,63.0,55.0,75.0,57.0,72.0,gold_ml_predicted,0.9
CLOMETHIAZOLE,,High,Clinical Candidate,chembl_ml_predicted,2,0,0,0,67.0,69.0,67.0,55.0,79.0,64.0,69.0,gold_ml_predicted,0.9
BUDIPINE,,Low-Med,Clinical Candidate,chembl_ml_predicted,0,2,0,0,74.0,68.0,61.0,57.0,56.0,46.0,51.0,gold_ml_predicted,0.9
DOMPERIDONE,,Medium,Clinical Candidate,chembl_ml_predicted,0,2,0,0,71.0,65.0,64.0,59.0,58.0,47.0,51.0,gold_ml_predicted,0.9
